source,target
"[4, 48, 21, 37, 17, 21, 42, 33]","[33, 42, 21, 17, 37, 21, 48, 4]"
"[54, 46, 31, 34, 25, 31, 35, 20, 33]","[33, 20, 35, 31, 25, 34, 31, 46, 54]"
"[8, 4, 44, 25]","[25, 44, 4, 8]"
"[57, 31, 18, 49, 22]","[22, 49, 18, 31, 57]"
"[25, 18, 55, 40, 8, 43]","[43, 8, 40, 55, 18, 25]"
"[60, 28, 45, 39, 51, 12, 42]","[42, 12, 51, 39, 45, 28, 60]"
"[11, 6, 26, 34, 57, 5, 56, 8]","[8, 56, 5, 57, 34, 26, 6, 11]"
"[17, 32, 7, 20, 5, 25, 46, 38, 9]","[9, 38, 46, 25, 5, 20, 7, 32, 17]"
"[17, 50, 53, 43]","[43, 53, 50, 17]"
"[19, 22, 6, 15, 58]","[58, 15, 6, 22, 19]"
"[25, 35, 59, 46, 12, 41]","[41, 12, 46, 59, 35, 25]"
"[40, 51, 32, 57, 56, 49, 30]","[30, 49, 56, 57, 32, 51, 40]"
"[49, 10, 40, 55, 5, 40, 29, 25]","[25, 29, 40, 5, 55, 40, 10, 49]"
"[32, 23, 5, 6, 14, 46, 42, 30, 57]","[57, 30, 42, 46, 14, 6, 5, 23, 32]"
"[24, 25, 42, 26]","[26, 42, 25, 24]"
"[30, 57, 17, 35, 13]","[13, 35, 17, 57, 30]"
"[9, 15, 38, 36, 9, 8]","[8, 9, 36, 38, 15, 9]"
"[35, 57, 12, 21, 35, 34, 35]","[35, 34, 35, 21, 12, 57, 35]"
"[34, 15, 9, 52, 46, 47, 27, 8]","[8, 27, 47, 46, 52, 9, 15, 34]"
"[5, 46, 42, 32, 32, 39, 20, 47, 20]","[20, 47, 20, 39, 32, 32, 42, 46, 5]"
"[47, 38, 50, 15]","[15, 50, 38, 47]"
"[42, 49, 19, 50, 54]","[54, 50, 19, 49, 42]"
"[11, 23, 36, 54, 60, 24]","[24, 60, 54, 36, 23, 11]"
"[6, 21, 45, 50, 10, 45, 24]","[24, 45, 10, 50, 45, 21, 6]"
"[39, 26, 4, 31, 60, 50, 33, 42]","[42, 33, 50, 60, 31, 4, 26, 39]"
"[43, 52, 9, 10, 50, 48, 48, 42, 9]","[9, 42, 48, 48, 50, 10, 9, 52, 43]"
"[18, 22, 53, 57]","[57, 53, 22, 18]"
"[47, 21, 48, 54, 55]","[55, 54, 48, 21, 47]"
"[23, 58, 8, 6, 17, 41]","[41, 17, 6, 8, 58, 23]"
"[54, 54, 23, 8, 39, 56, 17]","[17, 56, 39, 8, 23, 54, 54]"
"[13, 4, 14, 4, 20, 58, 19, 60]","[60, 19, 58, 20, 4, 14, 4, 13]"
"[12, 30, 41, 46, 16, 55, 47, 12, 25]","[25, 12, 47, 55, 16, 46, 41, 30, 12]"
"[48, 30, 7, 22]","[22, 7, 30, 48]"
"[38, 59, 55, 29, 23]","[23, 29, 55, 59, 38]"
"[47, 21, 58, 24, 49, 4]","[4, 49, 24, 58, 21, 47]"
"[51, 17, 46, 26, 25, 31, 32]","[32, 31, 25, 26, 46, 17, 51]"
"[31, 29, 45, 9, 26, 40, 53, 28]","[28, 53, 40, 26, 9, 45, 29, 31]"
"[50, 9, 40, 39, 28, 7, 57, 22, 42]","[42, 22, 57, 7, 28, 39, 40, 9, 50]"
"[13, 38, 12, 55]","[55, 12, 38, 13]"
"[45, 43, 9, 45, 56]","[56, 45, 9, 43, 45]"
"[46, 18, 59, 55, 5, 49]","[49, 5, 55, 59, 18, 46]"
"[54, 25, 46, 18, 55, 8, 5]","[5, 8, 55, 18, 46, 25, 54]"
"[19, 22, 45, 33, 60, 28, 46, 8]","[8, 46, 28, 60, 33, 45, 22, 19]"
"[32, 8, 47, 34, 59, 42, 34, 36, 46]","[46, 36, 34, 42, 59, 34, 47, 8, 32]"
"[49, 20, 25, 24]","[24, 25, 20, 49]"
"[12, 7, 56, 10, 56]","[56, 10, 56, 7, 12]"
"[43, 59, 14, 45, 29, 43]","[43, 29, 45, 14, 59, 43]"
"[38, 26, 18, 46, 7, 59, 57]","[57, 59, 7, 46, 18, 26, 38]"
"[51, 14, 34, 15, 26, 27, 35, 35]","[35, 35, 27, 26, 15, 34, 14, 51]"
"[28, 6, 52, 41, 15, 59, 58, 35, 9]","[9, 35, 58, 59, 15, 41, 52, 6, 28]"
"[4, 6, 32, 52]","[52, 32, 6, 4]"
"[11, 39, 41, 42, 18]","[18, 42, 41, 39, 11]"
"[26, 19, 5, 49, 11, 56]","[56, 11, 49, 5, 19, 26]"
"[14, 40, 42, 11, 45, 38, 36]","[36, 38, 45, 11, 42, 40, 14]"
"[30, 16, 60, 47, 8, 22, 6, 58]","[58, 6, 22, 8, 47, 60, 16, 30]"
"[20, 41, 43, 18, 56, 27, 20, 7, 33]","[33, 7, 20, 27, 56, 18, 43, 41, 20]"
"[23, 11, 44, 29]","[29, 44, 11, 23]"
"[37, 47, 12, 24, 32]","[32, 24, 12, 47, 37]"
"[4, 31, 55, 60, 20, 27]","[27, 20, 60, 55, 31, 4]"
"[16, 57, 50, 7, 52, 4, 19]","[19, 4, 52, 7, 50, 57, 16]"
"[60, 49, 55, 54, 55, 5, 55, 52]","[52, 55, 5, 55, 54, 55, 49, 60]"
"[13, 60, 19, 50, 30, 37, 54, 31, 37]","[37, 31, 54, 37, 30, 50, 19, 60, 13]"
"[37, 45, 32, 10]","[10, 32, 45, 37]"
"[51, 13, 59, 29, 18]","[18, 29, 59, 13, 51]"
"[15, 17, 15, 32, 19, 25]","[25, 19, 32, 15, 17, 15]"
"[31, 43, 48, 25, 7, 22, 9]","[9, 22, 7, 25, 48, 43, 31]"
"[29, 44, 59, 8, 25, 44, 50, 31]","[31, 50, 44, 25, 8, 59, 44, 29]"
"[52, 26, 9, 17, 51, 39, 15, 30, 25]","[25, 30, 15, 39, 51, 17, 9, 26, 52]"
"[52, 49, 30, 56]","[56, 30, 49, 52]"
"[15, 53, 21, 10, 51]","[51, 10, 21, 53, 15]"
"[6, 11, 7, 14, 7, 17]","[17, 7, 14, 7, 11, 6]"
"[16, 36, 52, 41, 21, 41, 28]","[28, 41, 21, 41, 52, 36, 16]"
"[30, 30, 47, 24, 43, 17, 54, 19]","[19, 54, 17, 43, 24, 47, 30, 30]"
"[13, 46, 8, 34, 56, 11, 53, 43, 35]","[35, 43, 53, 11, 56, 34, 8, 46, 13]"
"[39, 36, 17, 29]","[29, 17, 36, 39]"
"[15, 16, 50, 44, 51]","[51, 44, 50, 16, 15]"
"[56, 24, 50, 32, 59, 24]","[24, 59, 32, 50, 24, 56]"
"[53, 21, 10, 20, 34, 47, 15]","[15, 47, 34, 20, 10, 21, 53]"
"[16, 5, 58, 9, 45, 19, 48, 14]","[14, 48, 19, 45, 9, 58, 5, 16]"
"[17, 53, 54, 49, 25, 30, 34, 60, 36]","[36, 60, 34, 30, 25, 49, 54, 53, 17]"
"[48, 52, 27, 12]","[12, 27, 52, 48]"
"[30, 34, 27, 36, 54]","[54, 36, 27, 34, 30]"
"[60, 53, 39, 31, 47, 57]","[57, 47, 31, 39, 53, 60]"
"[53, 49, 51, 17, 50, 35, 11]","[11, 35, 50, 17, 51, 49, 53]"
"[16, 46, 4, 22, 25, 27, 34, 51]","[51, 34, 27, 25, 22, 4, 46, 16]"
"[16, 38, 34, 42, 23, 57, 29, 27, 35]","[35, 27, 29, 57, 23, 42, 34, 38, 16]"
"[5, 27, 35, 9]","[9, 35, 27, 5]"
"[45, 57, 31, 17, 50]","[50, 17, 31, 57, 45]"
"[34, 31, 25, 10, 44, 12]","[12, 44, 10, 25, 31, 34]"
"[7, 43, 28, 49, 19, 24, 60]","[60, 24, 19, 49, 28, 43, 7]"
"[41, 27, 33, 5, 4, 35, 19, 32]","[32, 19, 35, 4, 5, 33, 27, 41]"
"[8, 16, 5, 42, 47, 46, 31, 14, 31]","[31, 14, 31, 46, 47, 42, 5, 16, 8]"
"[60, 51, 34, 33]","[33, 34, 51, 60]"
"[19, 42, 41, 4, 57]","[57, 4, 41, 42, 19]"
"[17, 49, 33, 19, 29, 21]","[21, 29, 19, 33, 49, 17]"
"[44, 27, 26, 58, 55, 28, 53]","[53, 28, 55, 58, 26, 27, 44]"
"[57, 57, 45, 36, 20, 22, 54, 16]","[16, 54, 22, 20, 36, 45, 57, 57]"
"[31, 23, 46, 33, 33, 24, 5, 14, 34]","[34, 14, 5, 24, 33, 33, 46, 23, 31]"
"[53, 13, 48, 19]","[19, 48, 13, 53]"
"[51, 58, 51, 50, 18]","[18, 50, 51, 58, 51]"
"[22, 32, 18, 49, 35, 8]","[8, 35, 49, 18, 32, 22]"
"[23, 14, 16, 34, 17, 5, 21]","[21, 5, 17, 34, 16, 14, 23]"
"[36, 9, 21, 33, 30, 22, 37, 5]","[5, 37, 22, 30, 33, 21, 9, 36]"
"[26, 25, 4, 15, 55, 40, 37, 22, 31]","[31, 22, 37, 40, 55, 15, 4, 25, 26]"
"[40, 40, 54, 45]","[45, 54, 40, 40]"
"[37, 27, 15, 12, 49]","[49, 12, 15, 27, 37]"
"[41, 17, 51, 24, 7, 34]","[34, 7, 24, 51, 17, 41]"
"[17, 34, 57, 36, 37, 53, 27]","[27, 53, 37, 36, 57, 34, 17]"
"[49, 57, 14, 38, 7, 20, 13, 46]","[46, 13, 20, 7, 38, 14, 57, 49]"
"[21, 8, 46, 4, 18, 52, 35, 20, 17]","[17, 20, 35, 52, 18, 4, 46, 8, 21]"
"[58, 20, 6, 26]","[26, 6, 20, 58]"
"[28, 27, 46, 18, 39]","[39, 18, 46, 27, 28]"
"[16, 13, 7, 17, 49, 56]","[56, 49, 17, 7, 13, 16]"
"[43, 42, 36, 44, 34, 7, 17]","[17, 7, 34, 44, 36, 42, 43]"
"[15, 58, 44, 43, 6, 16, 44, 50]","[50, 44, 16, 6, 43, 44, 58, 15]"
"[10, 29, 16, 53, 15, 6, 56, 52, 46]","[46, 52, 56, 6, 15, 53, 16, 29, 10]"
"[44, 48, 53, 44]","[44, 53, 48, 44]"
"[52, 4, 50, 25, 56]","[56, 25, 50, 4, 52]"
"[18, 40, 8, 44, 6, 32]","[32, 6, 44, 8, 40, 18]"
"[37, 48, 23, 26, 32, 9, 43]","[43, 9, 32, 26, 23, 48, 37]"
"[29, 25, 16, 48, 29, 5, 57, 37]","[37, 57, 5, 29, 48, 16, 25, 29]"
"[40, 6, 36, 37, 59, 49, 4, 12, 4]","[4, 12, 4, 49, 59, 37, 36, 6, 40]"
"[8, 17, 57, 4]","[4, 57, 17, 8]"
"[51, 20, 29, 18, 23]","[23, 18, 29, 20, 51]"
"[41, 46, 41, 23, 34, 24]","[24, 34, 23, 41, 46, 41]"
"[37, 58, 27, 20, 60, 15, 38]","[38, 15, 60, 20, 27, 58, 37]"
"[13, 50, 4, 17, 15, 27, 40, 26]","[26, 40, 27, 15, 17, 4, 50, 13]"
"[45, 5, 43, 31, 23, 59, 26, 56, 29]","[29, 56, 26, 59, 23, 31, 43, 5, 45]"
"[29, 23, 7, 18]","[18, 7, 23, 29]"
"[19, 50, 13, 57, 22]","[22, 57, 13, 50, 19]"
"[20, 19, 50, 40, 40, 40]","[40, 40, 40, 50, 19, 20]"
"[25, 40, 40, 42, 38, 9, 32]","[32, 9, 38, 42, 40, 40, 25]"
"[14, 53, 33, 31, 9, 51, 24, 20]","[20, 24, 51, 9, 31, 33, 53, 14]"
"[51, 30, 52, 15, 7, 22, 8, 27, 52]","[52, 27, 8, 22, 7, 15, 52, 30, 51]"
"[26, 38, 22, 55]","[55, 22, 38, 26]"
"[7, 34, 16, 33, 7]","[7, 33, 16, 34, 7]"
"[32, 15, 43, 53, 19, 57]","[57, 19, 53, 43, 15, 32]"
"[31, 58, 7, 29, 21, 12, 37]","[37, 12, 21, 29, 7, 58, 31]"
"[7, 54, 36, 7, 40, 33, 34, 35]","[35, 34, 33, 40, 7, 36, 54, 7]"
"[51, 53, 53, 14, 56, 57, 58, 43, 56]","[56, 43, 58, 57, 56, 14, 53, 53, 51]"
"[49, 53, 19, 4]","[4, 19, 53, 49]"
"[55, 33, 39, 12, 51]","[51, 12, 39, 33, 55]"
"[47, 33, 27, 59, 50, 27]","[27, 50, 59, 27, 33, 47]"
"[32, 5, 25, 45, 7, 32, 20]","[20, 32, 7, 45, 25, 5, 32]"
"[14, 37, 47, 11, 59, 27, 25, 40]","[40, 25, 27, 59, 11, 47, 37, 14]"
"[56, 60, 8, 39, 35, 35, 48, 50, 5]","[5, 50, 48, 35, 35, 39, 8, 60, 56]"
"[54, 43, 51, 52]","[52, 51, 43, 54]"
"[39, 17, 10, 31, 52]","[52, 31, 10, 17, 39]"
"[42, 45, 22, 35, 37, 56]","[56, 37, 35, 22, 45, 42]"
"[42, 15, 35, 11, 30, 51, 20]","[20, 51, 30, 11, 35, 15, 42]"
"[22, 11, 24, 38, 15, 9, 27, 38]","[38, 27, 9, 15, 38, 24, 11, 22]"
"[22, 48, 20, 15, 59, 10, 9, 28, 46]","[46, 28, 9, 10, 59, 15, 20, 48, 22]"
"[14, 39, 26, 16]","[16, 26, 39, 14]"
"[42, 44, 28, 40, 47]","[47, 40, 28, 44, 42]"
"[13, 37, 39, 47, 34, 24]","[24, 34, 47, 39, 37, 13]"
"[51, 33, 55, 40, 52, 28, 29]","[29, 28, 52, 40, 55, 33, 51]"
"[48, 11, 39, 42, 19, 27, 6, 50]","[50, 6, 27, 19, 42, 39, 11, 48]"
"[44, 28, 59, 32, 55, 26, 11, 9, 51]","[51, 9, 11, 26, 55, 32, 59, 28, 44]"
"[41, 41, 39, 31]","[31, 39, 41, 41]"
"[22, 4, 59, 35, 21]","[21, 35, 59, 4, 22]"
"[26, 42, 14, 21, 47, 42]","[42, 47, 21, 14, 42, 26]"
"[17, 36, 45, 52, 57, 60, 6]","[6, 60, 57, 52, 45, 36, 17]"
"[42, 15, 45, 48, 51, 33, 7, 49]","[49, 7, 33, 51, 48, 45, 15, 42]"
"[55, 27, 18, 11, 19, 53, 27, 38, 36]","[36, 38, 27, 53, 19, 11, 18, 27, 55]"
"[41, 38, 54, 51]","[51, 54, 38, 41]"
"[53, 24, 37, 32, 5]","[5, 32, 37, 24, 53]"
"[16, 13, 60, 52, 37, 41]","[41, 37, 52, 60, 13, 16]"
"[21, 6, 44, 41, 59, 45, 50]","[50, 45, 59, 41, 44, 6, 21]"
"[14, 55, 56, 60, 34, 8, 40, 10]","[10, 40, 8, 34, 60, 56, 55, 14]"
"[59, 23, 31, 30, 50, 31, 42, 45, 39]","[39, 45, 42, 31, 50, 30, 31, 23, 59]"
"[36, 36, 8, 6]","[6, 8, 36, 36]"
"[36, 8, 21, 50, 55]","[55, 50, 21, 8, 36]"
"[37, 5, 45, 28, 5, 48]","[48, 5, 28, 45, 5, 37]"
"[40, 58, 40, 30, 24, 6, 24]","[24, 6, 24, 30, 40, 58, 40]"
"[19, 6, 22, 36, 26, 52, 51, 17]","[17, 51, 52, 26, 36, 22, 6, 19]"
"[18, 10, 38, 25, 32, 47, 56, 56, 17]","[17, 56, 56, 47, 32, 25, 38, 10, 18]"
"[21, 34, 4, 24]","[24, 4, 34, 21]"
"[43, 16, 58, 42, 34]","[34, 42, 58, 16, 43]"
"[60, 50, 9, 37, 25, 28]","[28, 25, 37, 9, 50, 60]"
"[58, 37, 34, 34, 51, 48, 25]","[25, 48, 51, 34, 34, 37, 58]"
"[53, 28, 47, 5, 50, 20, 25, 42]","[42, 25, 20, 50, 5, 47, 28, 53]"
"[13, 30, 46, 38, 36, 39, 31, 33, 37]","[37, 33, 31, 39, 36, 38, 46, 30, 13]"
"[15, 43, 19, 48]","[48, 19, 43, 15]"
"[41, 18, 10, 7, 21]","[21, 7, 10, 18, 41]"
"[54, 56, 54, 23, 48, 50]","[50, 48, 23, 54, 56, 54]"
"[35, 58, 13, 23, 7, 46, 21]","[21, 46, 7, 23, 13, 58, 35]"
"[7, 21, 40, 17, 22, 8, 20, 20]","[20, 20, 8, 22, 17, 40, 21, 7]"
"[53, 18, 24, 17, 14, 47, 56, 12, 25]","[25, 12, 56, 47, 14, 17, 24, 18, 53]"
"[26, 35, 44, 6]","[6, 44, 35, 26]"
"[60, 15, 27, 10, 11]","[11, 10, 27, 15, 60]"
"[29, 45, 35, 34, 30, 41]","[41, 30, 34, 35, 45, 29]"
"[4, 19, 47, 35, 19, 8, 47]","[47, 8, 19, 35, 47, 19, 4]"
"[36, 48, 59, 19, 56, 13, 19, 23]","[23, 19, 13, 56, 19, 59, 48, 36]"
"[39, 8, 12, 27, 11, 37, 23, 40, 48]","[48, 40, 23, 37, 11, 27, 12, 8, 39]"
"[10, 16, 46, 15]","[15, 46, 16, 10]"
"[41, 33, 53, 19, 39]","[39, 19, 53, 33, 41]"
"[50, 33, 17, 49, 21, 19]","[19, 21, 49, 17, 33, 50]"
"[28, 57, 53, 18, 10, 56, 7]","[7, 56, 10, 18, 53, 57, 28]"
"[49, 43, 33, 43, 55, 50, 13, 32]","[32, 13, 50, 55, 43, 33, 43, 49]"
"[52, 37, 29, 45, 30, 55, 30, 54, 38]","[38, 54, 30, 55, 30, 45, 29, 37, 52]"
"[37, 43, 32, 5]","[5, 32, 43, 37]"
"[54, 19, 58, 19, 21]","[21, 19, 58, 19, 54]"
"[58, 40, 8, 32, 27, 33]","[33, 27, 32, 8, 40, 58]"
"[17, 24, 24, 58, 17, 20, 51]","[51, 20, 17, 58, 24, 24, 17]"
"[55, 57, 32, 14, 4, 58, 58, 39]","[39, 58, 58, 4, 14, 32, 57, 55]"
"[14, 51, 30, 53, 39, 23, 17, 35, 53]","[53, 35, 17, 23, 39, 53, 30, 51, 14]"
"[28, 49, 48, 19]","[19, 48, 49, 28]"
"[6, 53, 8, 24, 20]","[20, 24, 8, 53, 6]"
"[40, 45, 47, 44, 14, 56]","[56, 14, 44, 47, 45, 40]"
"[31, 45, 32, 35, 40, 12, 36]","[36, 12, 40, 35, 32, 45, 31]"
"[19, 34, 27, 53, 13, 38, 38, 6]","[6, 38, 38, 13, 53, 27, 34, 19]"
"[57, 28, 51, 25, 19, 60, 39, 46, 36]","[36, 46, 39, 60, 19, 25, 51, 28, 57]"
"[46, 45, 34, 7]","[7, 34, 45, 46]"
"[54, 35, 46, 11, 42]","[42, 11, 46, 35, 54]"
"[23, 31, 50, 5, 39, 18]","[18, 39, 5, 50, 31, 23]"
"[17, 14, 7, 28, 24, 33, 24]","[24, 33, 24, 28, 7, 14, 17]"
"[50, 34, 7, 51, 51, 44, 30, 52]","[52, 30, 44, 51, 51, 7, 34, 50]"
"[9, 55, 19, 53, 47, 21, 38, 23, 15]","[15, 23, 38, 21, 47, 53, 19, 55, 9]"
"[54, 10, 5, 23]","[23, 5, 10, 54]"
"[21, 42, 27, 13, 58]","[58, 13, 27, 42, 21]"
"[50, 24, 4, 27, 19, 52]","[52, 19, 27, 4, 24, 50]"
"[9, 40, 33, 29, 50, 18, 19]","[19, 18, 50, 29, 33, 40, 9]"
"[34, 17, 26, 54, 11, 43, 60, 53]","[53, 60, 43, 11, 54, 26, 17, 34]"
"[30, 29, 55, 42, 31, 48, 52, 16, 21]","[21, 16, 52, 48, 31, 42, 55, 29, 30]"
"[26, 18, 50, 12]","[12, 50, 18, 26]"
"[25, 28, 56, 34, 56]","[56, 34, 56, 28, 25]"
"[20, 17, 26, 36, 41, 8]","[8, 41, 36, 26, 17, 20]"
"[33, 47, 37, 37, 16, 7, 43]","[43, 7, 16, 37, 37, 47, 33]"
"[15, 13, 7, 4, 30, 5, 5, 10]","[10, 5, 5, 30, 4, 7, 13, 15]"
"[10, 23, 30, 54, 7, 30, 51, 57, 46]","[46, 57, 51, 30, 7, 54, 30, 23, 10]"
"[29, 16, 34, 39]","[39, 34, 16, 29]"
"[49, 24, 50, 48, 15]","[15, 48, 50, 24, 49]"
"[14, 59, 31, 15, 18, 19]","[19, 18, 15, 31, 59, 14]"
"[31, 39, 14, 10, 54, 46, 7]","[7, 46, 54, 10, 14, 39, 31]"
"[15, 45, 56, 32, 22, 37, 36, 19]","[19, 36, 37, 22, 32, 56, 45, 15]"
"[21, 23, 55, 57, 44, 27, 31, 4, 59]","[59, 4, 31, 27, 44, 57, 55, 23, 21]"
"[5, 4, 28, 20]","[20, 28, 4, 5]"
"[37, 28, 48, 20, 47]","[47, 20, 48, 28, 37]"
"[8, 60, 35, 47, 22, 34]","[34, 22, 47, 35, 60, 8]"
"[16, 27, 13, 15, 29, 58, 34]","[34, 58, 29, 15, 13, 27, 16]"
"[8, 54, 53, 11, 18, 21, 31, 42]","[42, 31, 21, 18, 11, 53, 54, 8]"
"[33, 41, 38, 23, 33, 17, 55, 15, 40]","[40, 15, 55, 17, 33, 23, 38, 41, 33]"
"[37, 26, 47, 37]","[37, 47, 26, 37]"
"[21, 42, 55, 21, 49]","[49, 21, 55, 42, 21]"
"[52, 42, 56, 55, 6, 59]","[59, 6, 55, 56, 42, 52]"
"[11, 59, 6, 37, 24, 5, 60]","[60, 5, 24, 37, 6, 59, 11]"
"[57, 52, 48, 42, 40, 8, 26, 13]","[13, 26, 8, 40, 42, 48, 52, 57]"
"[39, 47, 15, 50, 16, 13, 44, 55, 29]","[29, 55, 44, 13, 16, 50, 15, 47, 39]"
"[15, 16, 29, 31]","[31, 29, 16, 15]"
"[58, 19, 50, 34, 19]","[19, 34, 50, 19, 58]"
"[47, 58, 46, 45, 57, 18]","[18, 57, 45, 46, 58, 47]"
"[22, 55, 34, 10, 37, 27, 23]","[23, 27, 37, 10, 34, 55, 22]"
"[31, 19, 51, 32, 48, 15, 58, 58]","[58, 58, 15, 48, 32, 51, 19, 31]"
"[10, 22, 57, 45, 52, 55, 43, 50, 6]","[6, 50, 43, 55, 52, 45, 57, 22, 10]"
"[58, 43, 19, 44]","[44, 19, 43, 58]"
"[31, 35, 57, 58, 30]","[30, 58, 57, 35, 31]"
"[39, 27, 24, 45, 5, 55]","[55, 5, 45, 24, 27, 39]"
"[30, 21, 38, 30, 19, 31, 19]","[19, 31, 19, 30, 38, 21, 30]"
"[21, 27, 56, 59, 42, 32, 9, 11]","[11, 9, 32, 42, 59, 56, 27, 21]"
"[45, 48, 57, 41, 55, 44, 44, 17, 10]","[10, 17, 44, 44, 55, 41, 57, 48, 45]"
"[21, 10, 57, 43]","[43, 57, 10, 21]"
"[42, 44, 17, 53, 35]","[35, 53, 17, 44, 42]"
"[47, 27, 56, 17, 11, 54]","[54, 11, 17, 56, 27, 47]"
"[19, 55, 30, 41, 51, 20, 22]","[22, 20, 51, 41, 30, 55, 19]"
"[16, 29, 12, 35, 24, 51, 37, 18]","[18, 37, 51, 24, 35, 12, 29, 16]"
"[40, 23, 59, 38, 59, 23, 59, 53, 54]","[54, 53, 59, 23, 59, 38, 59, 23, 40]"
"[33, 35, 18, 30]","[30, 18, 35, 33]"
"[16, 41, 50, 28, 4]","[4, 28, 50, 41, 16]"
"[21, 13, 45, 12, 15, 53]","[53, 15, 12, 45, 13, 21]"
"[9, 43, 57, 4, 6, 60, 27]","[27, 60, 6, 4, 57, 43, 9]"
"[38, 44, 33, 22, 4, 26, 26, 34]","[34, 26, 26, 4, 22, 33, 44, 38]"
"[14, 40, 11, 60, 57, 20, 57, 46, 48]","[48, 46, 57, 20, 57, 60, 11, 40, 14]"
"[19, 25, 17, 11]","[11, 17, 25, 19]"
"[14, 40, 49, 60, 14]","[14, 60, 49, 40, 14]"
"[17, 38, 42, 5, 57, 5]","[5, 57, 5, 42, 38, 17]"
"[56, 45, 43, 25, 42, 8, 54]","[54, 8, 42, 25, 43, 45, 56]"
"[51, 30, 56, 13, 20, 43, 50, 27]","[27, 50, 43, 20, 13, 56, 30, 51]"
"[10, 41, 41, 56, 21, 29, 14, 53, 40]","[40, 53, 14, 29, 21, 56, 41, 41, 10]"
"[50, 5, 22, 57]","[57, 22, 5, 50]"
"[10, 59, 42, 40, 28]","[28, 40, 42, 59, 10]"
"[16, 39, 6, 55, 18, 47]","[47, 18, 55, 6, 39, 16]"
"[39, 31, 4, 13, 5, 20, 36]","[36, 20, 5, 13, 4, 31, 39]"
"[57, 57, 10, 60, 52, 19, 48, 24]","[24, 48, 19, 52, 60, 10, 57, 57]"
"[4, 51, 11, 20, 12, 8, 31, 23, 60]","[60, 23, 31, 8, 12, 20, 11, 51, 4]"
"[47, 53, 29, 41]","[41, 29, 53, 47]"
"[25, 17, 51, 35, 43]","[43, 35, 51, 17, 25]"
"[44, 20, 42, 57, 27, 36]","[36, 27, 57, 42, 20, 44]"
"[39, 24, 41, 49, 30, 29, 7]","[7, 29, 30, 49, 41, 24, 39]"
"[52, 35, 33, 60, 44, 19, 24, 52]","[52, 24, 19, 44, 60, 33, 35, 52]"
"[51, 56, 14, 46, 47, 14, 37, 7, 39]","[39, 7, 37, 14, 47, 46, 14, 56, 51]"
"[37, 9, 18, 32]","[32, 18, 9, 37]"
"[18, 57, 41, 43, 24]","[24, 43, 41, 57, 18]"
"[46, 36, 51, 13, 6, 59]","[59, 6, 13, 51, 36, 46]"
"[45, 39, 58, 54, 27, 8, 42]","[42, 8, 27, 54, 58, 39, 45]"
"[10, 26, 36, 51, 53, 28, 40, 12]","[12, 40, 28, 53, 51, 36, 26, 10]"
"[57, 19, 40, 33, 4, 16, 4, 16, 8]","[8, 16, 4, 16, 4, 33, 40, 19, 57]"
"[40, 16, 48, 52]","[52, 48, 16, 40]"
"[41, 47, 9, 51, 9]","[9, 51, 9, 47, 41]"
"[12, 38, 25, 24, 49, 19]","[19, 49, 24, 25, 38, 12]"
"[23, 4, 49, 17, 43, 50, 19]","[19, 50, 43, 17, 49, 4, 23]"
"[6, 32, 47, 14, 39, 33, 52, 29]","[29, 52, 33, 39, 14, 47, 32, 6]"
"[18, 39, 6, 32, 7, 40, 42, 6, 60]","[60, 6, 42, 40, 7, 32, 6, 39, 18]"
"[51, 35, 59, 6]","[6, 59, 35, 51]"
"[54, 19, 8, 30, 50]","[50, 30, 8, 19, 54]"
"[29, 42, 40, 47, 26, 20]","[20, 26, 47, 40, 42, 29]"
"[27, 26, 35, 26, 18, 36, 19]","[19, 36, 18, 26, 35, 26, 27]"
"[22, 5, 39, 46, 18, 60, 13, 47]","[47, 13, 60, 18, 46, 39, 5, 22]"
"[28, 43, 33, 46, 28, 58, 30, 46, 39]","[39, 46, 30, 58, 28, 46, 33, 43, 28]"
"[53, 60, 14, 46]","[46, 14, 60, 53]"
"[27, 25, 39, 18, 50]","[50, 18, 39, 25, 27]"
"[11, 42, 46, 5, 45, 31]","[31, 45, 5, 46, 42, 11]"
"[24, 12, 58, 41, 49, 22, 55]","[55, 22, 49, 41, 58, 12, 24]"
"[33, 47, 55, 34, 20, 18, 48, 4]","[4, 48, 18, 20, 34, 55, 47, 33]"
"[30, 51, 6, 17, 42, 15, 29, 30, 55]","[55, 30, 29, 15, 42, 17, 6, 51, 30]"
"[56, 15, 50, 11]","[11, 50, 15, 56]"
"[22, 43, 38, 50, 59]","[59, 50, 38, 43, 22]"
"[28, 46, 43, 29, 57, 14]","[14, 57, 29, 43, 46, 28]"
"[48, 15, 44, 58, 48, 30, 33]","[33, 30, 48, 58, 44, 15, 48]"
"[31, 35, 16, 44, 27, 8, 38, 8]","[8, 38, 8, 27, 44, 16, 35, 31]"
"[6, 40, 53, 19, 14, 48, 35, 31, 42]","[42, 31, 35, 48, 14, 19, 53, 40, 6]"
"[28, 34, 54, 23]","[23, 54, 34, 28]"
"[18, 50, 42, 34, 5]","[5, 34, 42, 50, 18]"
"[51, 28, 16, 24, 40, 58]","[58, 40, 24, 16, 28, 51]"
"[59, 53, 32, 26, 16, 57, 41]","[41, 57, 16, 26, 32, 53, 59]"
"[9, 25, 47, 57, 60, 41, 56, 23]","[23, 56, 41, 60, 57, 47, 25, 9]"
